experiment,checkpoint_step,bucket,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg,nearest_demo_episode,nearest_demo_frame
E_reweight2_1_early_action,2500,step3_plus,9.133057594299316,8.567633628845215,8.850345611572266,33,25
E_reweight2_1_early_action,5000,step0,2.8045108318328857,2.4204773902893066,2.612494111061096,33,25
E_reweight2_1_early_action,5000,step1_2,2.207047700881958,2.6909759044647217,2.44901180267334,33,25
E_reweight2_1_early_action,5000,step3_plus,4.475422382354736,4.491474628448486,4.483448505401611,33,25
E_reweight2_1_early_action,7500,step0,1.8840919733047485,1.4210392236709595,1.652565598487854,33,25
E_reweight2_1_early_action,7500,step1_2,2.1305768489837646,1.8366836309432983,1.9836302399635315,33,25
E_reweight2_1_early_action,7500,step3_plus,6.906505107879639,8.70680046081543,7.806652784347534,33,25
E_reweight2_1_early_action,10000,step0,1.656195878982544,1.3656280040740967,1.5109119415283203,33,25
E_reweight2_1_early_action,10000,step1_2,1.8571773767471313,1.794694185256958,1.8259357810020447,33,25
E_reweight2_1_early_action,10000,step3_plus,6.578472137451172,8.493219375610352,7.535845756530762,33,25
