episode,frame_t,chunk_index_k,expected_raw_frame_idx,expected_is_pad,dataset_is_pad_flag,max_abs_diff_vs_expected_deg,exact_match,nearest_neighbor_frame_idx,nearest_neighbor_l2_deg,nn_matches_expected_frame
0,0,0,0,False,False,0.000000,True,0,0.000000,True
0,0,1,1,False,False,0.000000,True,0,0.000000,True
0,0,2,2,False,False,0.000000,True,0,0.000000,True
0,0,3,3,False,False,0.000000,True,0,0.000000,True
0,0,4,4,False,False,0.000000,True,0,0.000000,True
0,0,5,5,False,False,0.000000,True,0,0.000000,True
0,0,6,6,False,False,0.000000,True,0,0.000000,True
0,0,7,7,False,False,0.000000,True,0,0.000000,True
0,0,8,8,False,False,0.000000,True,0,0.000000,True
0,0,9,9,False,False,0.000000,True,0,0.000000,True
0,0,10,10,False,False,0.000000,True,0,0.000000,True
0,0,11,11,False,False,0.000000,True,0,0.000000,True
0,0,12,12,False,False,0.000000,True,0,0.000000,True
0,0,13,13,False,False,0.000000,True,0,0.000000,True
0,0,14,14,False,False,0.000000,True,0,0.000000,True
0,0,15,15,False,False,0.000000,True,0,0.000000,True
0,0,16,16,False,False,0.000000,True,16,0.000000,True
0,0,17,17,False,False,0.000000,True,17,0.000000,True
0,0,18,18,False,False,0.000000,True,18,0.000000,True
0,0,19,19,False,False,0.000000,True,19,0.000000,True
0,0,20,20,False,False,0.000000,True,20,0.000000,True
0,0,21,21,False,False,0.000000,True,21,0.000000,True
0,0,22,22,False,False,0.000000,True,22,0.000000,True
0,0,23,23,False,False,0.000000,True,23,0.000000,True
0,0,24,24,False,False,0.000000,True,24,0.000000,True
0,0,25,25,False,False,0.000000,True,25,0.000000,True
0,0,26,26,False,False,0.000000,True,26,0.000000,True
0,0,27,27,False,False,0.000000,True,27,0.000000,True
0,0,28,28,False,False,0.000000,True,28,0.000000,True
0,0,29,29,False,False,0.000000,True,29,0.000000,True
0,0,30,30,False,False,0.000000,True,30,0.000000,True
0,0,31,31,False,False,0.000000,True,31,0.000000,True
0,0,32,32,False,False,0.000000,True,32,0.000000,True
0,0,33,33,False,False,0.000000,True,33,0.000000,True
0,0,34,34,False,False,0.000000,True,34,0.000000,True
0,0,35,35,False,False,0.000000,True,35,0.000000,True
0,0,36,36,False,False,0.000000,True,36,0.000000,True
0,0,37,37,False,False,0.000000,True,37,0.000000,True
0,0,38,38,False,False,0.000000,True,38,0.000000,True
0,0,39,39,False,False,0.000000,True,39,0.000000,True
0,0,40,40,False,False,0.000000,True,40,0.000000,True
0,0,41,41,False,False,0.000000,True,41,0.000000,True
0,0,42,42,False,False,0.000000,True,42,0.000000,True
0,0,43,43,False,False,0.000000,True,43,0.000000,True
0,0,44,44,False,False,0.000000,True,44,0.000000,True
0,0,45,45,False,False,0.000000,True,45,0.000000,True
0,0,46,46,False,False,0.000000,True,46,0.000000,True
0,0,47,47,False,False,0.000000,True,47,0.000000,True
0,0,48,48,False,False,0.000000,True,48,0.000000,True
0,0,49,49,False,False,0.000000,True,49,0.000000,True
0,5,0,5,False,False,0.000000,True,0,0.000000,True
0,5,1,6,False,False,0.000000,True,0,0.000000,True
